session_id,trial_id,repetition,label,sample,time_s,adc
20260914_141144_206684,1,1,REST,1662,1.662,1147
20260914_141144_206684,1,1,REST,1663,1.663,1149
20260914_141144_206684,1,1,REST,1664,1.664,1143
20260914_141144_206684,1,1,REST,1665,1.665,1145
20260914_141144_206684,1,1,REST,1666,1.666,1140
20260914_141144_206684,1,1,REST,1667,1.667,1133
20260914_141144_206684,1,1,REST,1668,1.668,1134
20260914_141144_206684,1,1,REST,1669,1.669,1129
20260914_141144_206684,1,1,REST,1670,1.67,1123
20260914_141144_206684,1,1,REST,1671,1.671,1122
20260914_141144_206684,1,1,REST,1672,1.672,1119
20260914_141144_206684,1,1,REST,1673,1.673,1120
20260914_141144_206684,1,1,REST,1674,1.674,1120
20260914_141144_206684,1,1,REST,1675,1.675,1142
20260914_141144_206684,1,1,REST,1676,1.676,1143
20260914_141144_206684,1,1,REST,1677,1.677,1141
20260914_141144_206684,1,1,REST,1678,1.678,1158
20260914_141144_206684,1,1,REST,1679,1.679,1152
20260914_141144_206684,1,1,REST,1680,1.68,1148
20260914_141144_206684,1,1,REST,1681,1.681,1153
20260914_141144_206684,1,1,REST,1682,1.682,1155
20260914_141144_206684,1,1,REST,1683,1.683,1143
20260914_141144_206684,1,1,REST,1684,1.684,1149
20260914_141144_206684,1,1,REST,1685,1.685,1147
20260914_141144_206684,1,1,REST,1686,1.686,1150
20260914_141144_206684,1,1,REST,1687,1.687,1142
20260914_141144_206684,1,1,REST,1688,1.688,1126
20260914_141144_206684,1,1,REST,1689,1.689,1130
20260914_141144_206684,1,1,REST,1690,1.69,1127
20260914_141144_206684,1,1,REST,1691,1.691,1129
20260914_141144_206684,1,1,REST,1692,1.692,1126
20260914_141144_206684,1,1,REST,1693,1.693,1126
20260914_141144_206684,1,1,REST,1694,1.694,1130
20260914_141144_206684,1,1,REST,1695,1.695,1134
20260914_141144_206684,1,1,REST,1696,1.696,1133
20260914_141144_206684,1,1,REST,1697,1.697,1140
20260914_141144_206684,1,1,REST,1698,1.698,1148
20260914_141144_206684,1,1,REST,1699,1.699,1153
20260914_141144_206684,1,1,REST,1700,1.7,1151
20260914_141144_206684,1,1,REST,1701,1.701,1162
20260914_141144_206684,1,1,REST,1702,1.702,1159
20260914_141144_206684,1,1,REST,1703,1.703,1155
20260914_141144_206684,1,1,REST,1704,1.704,1145
20260914_141144_206684,1,1,REST,1705,1.705,1149
20260914_141144_206684,1,1,REST,1706,1.706,1143
20260914_141144_206684,1,1,REST,1707,1.707,1139
20260914_141144_206684,1,1,REST,1708,1.708,1127
20260914_141144_206684,1,1,REST,1709,1.709,1134
20260914_141144_206684,1,1,REST,1710,1.71,1134
20260914_141144_206684,1,1,REST,1711,1.711,1125
20260914_141144_206684,1,1,REST,1712,1.712,1121
20260914_141144_206684,1,1,REST,1713,1.713,1071
20260914_141144_206684,1,1,REST,1714,1.714,1114
20260914_141144_206684,1,1,REST,1715,1.715,1118
20260914_141144_206684,1,1,REST,1716,1.716,1136
20260914_141144_206684,1,1,REST,1717,1.717,1141
20260914_141144_206684,1,1,REST,1718,1.718,1152
20260914_141144_206684,1,1,REST,1719,1.719,1146
20260914_141144_206684,1,1,REST,1720,1.72,1147
20260914_141144_206684,1,1,REST,1721,1.721,1152
20260914_141144_206684,1,1,REST,1722,1.722,1174
20260914_141144_206684,1,1,REST,1723,1.723,1153
20260914_141144_206684,1,1,REST,1724,1.724,1154
20260914_141144_206684,1,1,REST,1725,1.725,1147
20260914_141144_206684,1,1,REST,1726,1.726,1151
20260914_141144_206684,1,1,REST,1727,1.727,1139
20260914_141144_206684,1,1,REST,1728,1.728,1088
20260914_141144_206684,1,1,REST,1729,1.729,1135
20260914_141144_206684,1,1,REST,1730,1.73,1135
20260914_141144_206684,1,1,REST,1731,1.731,1110
20260914_141144_206684,1,1,REST,1732,1.732,1110
20260914_141144_206684,1,1,REST,1733,1.733,1127
20260914_141144_206684,1,1,REST,1734,1.734,1123
20260914_141144_206684,1,1,REST,1735,1.735,1132
20260914_141144_206684,1,1,REST,1736,1.736,1134
20260914_141144_206684,1,1,REST,1737,1.737,1135
20260914_141144_206684,1,1,REST,1738,1.738,1151
20260914_141144_206684,1,1,REST,1739,1.739,1107
20260914_141144_206684,1,1,REST,1740,1.74,1142
20260914_141144_206684,1,1,REST,1741,1.741,1158
20260914_141144_206684,1,1,REST,1742,1.742,1153
20260914_141144_206684,1,1,REST,1743,1.743,1148
20260914_141144_206684,1,1,REST,1744,1.744,1151
20260914_141144_206684,1,1,REST,1745,1.745,1145
20260914_141144_206684,1,1,REST,1746,1.746,1147
20260914_141144_206684,1,1,REST,1747,1.747,1142
20260914_141144_206684,1,1,REST,1748,1.748,1145
20260914_141144_206684,1,1,REST,1749,1.749,1135
20260914_141144_206684,1,1,REST,1750,1.75,1126
20260914_141144_206684,1,1,REST,1751,1.751,1115
20260914_141144_206684,1,1,REST,1752,1.752,1114
20260914_141144_206684,1,1,REST,1753,1.753,1125
20260914_141144_206684,1,1,REST,1754,1.754,1127
20260914_141144_206684,1,1,REST,1755,1.755,1130
20260914_141144_206684,1,1,REST,1756,1.756,1134
20260914_141144_206684,1,1,REST,1757,1.757,1136
20260914_141144_206684,1,1,REST,1758,1.758,1142
20260914_141144_206684,1,1,REST,1759,1.759,1146
20260914_141144_206684,1,1,REST,1760,1.76,1122
20260914_141144_206684,1,1,REST,1761,1.761,1154
20260914_141144_206684,1,1,REST,1762,1.762,1161
20260914_141144_206684,1,1,REST,1763,1.763,1151
20260914_141144_206684,1,1,REST,1764,1.764,1152
20260914_141144_206684,1,1,REST,1765,1.765,1147
20260914_141144_206684,1,1,REST,1766,1.766,1138
20260914_141144_206684,1,1,REST,1767,1.767,1149
20260914_141144_206684,1,1,REST,1768,1.768,1130
20260914_141144_206684,1,1,REST,1769,1.769,1141
20260914_141144_206684,1,1,REST,1770,1.77,1133
20260914_141144_206684,1,1,REST,1771,1.771,1121
20260914_141144_206684,1,1,REST,1772,1.772,1120
20260914_141144_206684,1,1,REST,1773,1.773,1123
20260914_141144_206684,1,1,REST,1774,1.774,1129
20260914_141144_206684,1,1,REST,1775,1.775,1130
20260914_141144_206684,1,1,REST,1776,1.776,1136
20260914_141144_206684,1,1,REST,1777,1.777,1127
20260914_141144_206684,1,1,REST,1778,1.778,1151
20260914_141144_206684,1,1,REST,1779,1.779,1152
20260914_141144_206684,1,1,REST,1780,1.78,1153
20260914_141144_206684,1,1,REST,1781,1.781,1158
20260914_141144_206684,1,1,REST,1782,1.782,1159
20260914_141144_206684,1,1,REST,1783,1.783,1156
20260914_141144_206684,1,1,REST,1784,1.784,1150
20260914_141144_206684,1,1,REST,1785,1.785,1149
20260914_141144_206684,1,1,REST,1786,1.786,1143
20260914_141144_206684,1,1,REST,1787,1.787,1136
20260914_141144_206684,1,1,REST,1788,1.788,1105
20260914_141144_206684,1,1,REST,1789,1.789,1107
20260914_141144_206684,1,1,REST,1790,1.79,1129
20260914_141144_206684,1,1,REST,1791,1.791,1120
20260914_141144_206684,1,1,REST,1792,1.792,1115
20260914_141144_206684,1,1,REST,1793,1.793,1125
20260914_141144_206684,1,1,REST,1794,1.794,1126
20260914_141144_206684,1,1,REST,1795,1.795,1125
20260914_141144_206684,1,1,REST,1796,1.796,1132
20260914_141144_206684,1,1,REST,1797,1.797,1135
20260914_141144_206684,1,1,REST,1798,1.798,1156
20260914_141144_206684,1,1,REST,1799,1.799,1151
20260914_141144_206684,1,1,REST,1800,1.8,1161
20260914_141144_206684,1,1,REST,1801,1.801,1158
20260914_141144_206684,1,1,REST,1802,1.802,1162
20260914_141144_206684,1,1,REST,1803,1.803,1155
20260914_141144_206684,1,1,REST,1804,1.804,1151
20260914_141144_206684,1,1,REST,1805,1.805,1150
20260914_141144_206684,1,1,REST,1806,1.806,1131
